"UF;MUNICÍPIO;IBGE;TIPOLOGIA;ZONA;NOME DO ESTABELECIMENTO;STATUS"
"CE;SOBRAL;2312908;ESCOLA;URBANO;DR JOSE EUCLIDES FERREIRA GOMES JUNIOR EEM;ATIVADO                                                                                                                      "
"CE;SAO BENEDITO;2312304;ESCOLA;URBANO;DEPUTADO TOMAZ BRANDAO EEFM;ATIVADO                                                                                                                               "
"CE;RUSSAS;2311801;ESCOLA;URBANO;MARIA DE LOURDES OLIVEIRA EEFM;ATIVADO                                                                                                                                  "
"CE;RUSSAS;2311801;ESCOLA;URBANO;NTE  PAULO FREIRE   RUSSAS;ATIVADO                                                                                                                                      "
"CE;RUSSAS;2311801;ESCOLA;RURAL;JOSE RICARDO DE MATOS EMEIEF;ATIVADO                                                                                                                                     "
"CE;QUIXERAMOBIM;2311405;ESCOLA;URBANO;ALFREDO ALMEIDA MACHADO EEF;ATIVADO                                                                                                                               "
"CE;QUIXADÁ;2311306;ESCOLA;URBANO;ESCOLA DE ENSINO FUNDAMENTAL ABRAAO BAQUIT;ATIVADO                                                                                                                     "
"CE;PORTEIRAS;2311108;ESCOLA;RURAL;PEDRO CAZUZA SOBRINHO EEIF;ATIVADO                                                                                                                                    "
"CE;PORTEIRAS;2311108;ESCOLA;RURAL;JOSEFINA RODRIGUES EEF;ATIVADO                                                                                                                                        "
"CE;PIRES FERREIRA;2310951;ESCOLA;RURAL;FRANCISCO FERREIRA SANTIAGO EEF;ATIVADO                                                                                                                          "
"CE;PIQUET CARNEIRO;2310902;ESCOLA;RURAL;EMEF JOSE MARTINS DA COSTA;ATIVADO                                                                                                                              "
"CE;PENTECOSTE;2310704;ESCOLA;URBANO;AGENCIA FORMADORA  ESFM TAB JOSE RIBEIRO GUIMARAES;ATIVADO                                                                                                          "
"CE;OROS;2309508;ESCOLA;URBANO;MANOEL LEITE BARBOSA EEF;ATIVADO                                                                                                                                          "
"CE;OROS;2309508;ESCOLA;URBANO;MANOEL MOREIRA PEQUENO EEF;ATIVADO                                                                                                                                        "
"CE;MONSENHOR TABOSA;2308609;ESCOLA;RURAL;ESCOLA INDIGENA POVO CACETEIRO;ATIVADO                                                                                                                         "
"CE;MISSAO VELHA;2308401;ESCOLA;URBANO;PADRE AMORIM EEFM;ATIVADO                                                                                                                                         "
"CE;MIRAIMA;2308377;ESCOLA;RURAL;VICENTE ANTENOR FERREIRA GOMES EEFM;ATIVADO                                                                                                                             "
"CE;MILAGRES;2308302;ESCOLA;RURAL;DONA MARIQUINHA BELO E E I F;ATIVADO                                                                                                                                   "
"CE;MAURITI;2308104;ESCOLA;RURAL;JOSE JOAQUIM DE SOUZA EEF;ATIVADO                                                                                                                                       "
"CE;LAVRAS DA MANGABEIRA;2307502;ESCOLA;URBANO;PAULO VI ESCOLA DE ENS INF FUND;ATIVADO                                                                                                                   "
"CE;JUAZEIRO DO NORTE;2307304;ESCOLA;RURAL;SENHOR CALLOU EEF;ATIVADO                                                                                                                                     "
"CE;JAGUARIBE;2306900;ESCOLA;URBANO;NTE  JAGUARIBE;ATIVADO                                                                                                                                               "
"CE;JAGUARIBE;2306900;ESCOLA;RURAL;ULISSES PARANHOS MAIA EEIEF;ATIVADO                                                                                                                                   "
"CE;JAGUARIBE;2306900;ESCOLA;URBANO;EEF MILITANA PAES;ATIVADO                                                                                                                                            "
"CE;HORIZONTE;2305233;ESCOLA;URBANO;JOAO ANTONIO DA SILVA EMEF;ATIVADO                                                                                                                                   "
"CE;HORIZONTE;2305233;CRAS;URBANO;KIT - CRAS HORIZONTE;ATIVADO                                                                                                                                           "
"CE;CRATEUS;2304103;ESCOLA;URBANO;REALEJO ESC CID DE;ATIVADO                                                                                                                                             "
"CE;CRATEUS;2304103;ESCOLA;URBANO;IBIAPABA ESC CID DE;ATIVADO                                                                                                                                            "
"CE;CRATEUS;2304103;ESCOLA;URBANO;ANTONIO ANISIO DA FROTA CAIC ESC CID;ATIVADO                                                                                                                           "
"CE;CRATEUS;2304103;ESCOLA;URBANO;AGENCIA FORMADORA  COLEGIO EST REGINA PACI;ATIVADO                                                                                                                     "
"CE;CASCAVEL;2303501;ESCOLA;URBANO;RONALDO CAMINHA BARBOSA EEM;ATIVADO                                                                                                                                   "
"CE;CRATO;2304202;ASSENTAMENTO;RURAL;KIT - ASSENTAMENTO ESTADUAL 10 DE ABRIL TERRITORIO DA CIDADANIA CARIRI;ATIVADO                                                                                      "
"CE;BREJO SANTO;2302503;ESCOLA;URBANO;NTE  BREJO SANTO;ATIVADO                                                                                                                                           "
"CE;BEBERIBE;2302206;ESCOLA;URBANO;FRANCISCA MOREIRA DE SOUZA EEM;ATIVADO                                                                                                                                "
"CE;BARROQUINHA;2302057;ESCOLA;RURAL;NOSSA SENHORA DE FATIMA EEF;ATIVADO                                                                                                                                 "
"CE;AURORA;2301703;ESCOLA;RURAL;PADRE CICERO EEFM;ATIVADO                                                                                                                                                "
"CE;ARACOIABA;2301208;ESCOLA;URBANO;JOAO ALVES MOREIRA EEM;ATIVADO                                                                                                                                       "
"CE;ARACOIABA;2301208;ESCOLA;URBANO;IDEAL ESC 1 GR;ATIVADO                                                                                                                                               "
"CE;ACARAU;2300200;ESCOLA;URBANO;MARIA CONCEICAO DE ARAUJO EEFM;ATIVADO                                                                                                                                  "
"BA;WANDERLEY;2933455;ESCOLA;URBANO;EE - COLEGIO ESTADUAL ANTONIO INACIO DE OLIVEIRA;ATIVADO                                                                                                             "
"BA;VEREDA;2933257;ESCOLA;RURAL;EE - ESCOLA ESTADUAL JOSE CARLOS LEAO DE ARAUJO;ATIVADO                                                                                                                  "
"BA;VARZEA NOVA;2933158;ESCOLA;URBANO;EE - COLEGIO ESTADUAL PROFESSORA ADJACI MARTINS DURANS;ATIVADO                                                                                                     "
"BA;VALENTE;2933000;ESCOLA;RURAL;ESCOLA FAMILIA AGRICOLA AVANI DE LIMA CUNHA;ATIVADO                                                                                                                     "
"BA;UNA;2932507;ESCOLA;URBANO;EE - COLEGIO ESTADUAL MENANDRO MINAHIM;ATIVADO                                                                                                                             "
"BA;UAUA;2932002;ESCOLA;RURAL;EE - ESCOLA ESTADUAL CORONEL JERONIMO RODRIGUES RIBEIRO - POV LAGOA DO PIRES;ATIVADO                                                                                       "
"BA;UAUA;2932002;ESCOLA;RURAL;EE - COLEGIO ESTADUAL OLIMPIO JOAQUIM CARDOSO - POV SAO PAULO;ATIVADO                                                                                                      "
"BA;UAUA;2932002;ESCOLA;RURAL;EE - ESCOLA ESTADUAL DE 1º GRAU CALDEIRAO DO ALMEIDA - DIST CALDEIRAO DO ALMEIDA;ATIVADO                                                                                   "
"BA;UAUA;2932002;ESCOLA;RURAL;EE - COLEGIO ESTADUAL PROFESSOR EDIVALDO MACHADO BOAVENTURA;ATIVADO                                                                                                        "
"BA;SITIO DO QUINTO;2930766;ESCOLA;RURAL;ESCOLA MUNICIPAL DO TINGUI;ATIVADO                                                                                                                              "
"BA;SERRA PRETA;2930402;ESCOLA;URBANO;EE - COLEGIO ESTADUAL RENATO MEDEIROS NETO - DIST DO BRAVO;ATIVADO                                                                                                 "
"BA;SERRA PRETA;2930402;ESCOLA;URBANO;EE - ESCOLA PAPA JOAO PAULO I - DISTRITO DO BRAVO;ATIVADO                                                                                                          "
"BA;SERRA DOURADA;2930303;ESCOLA;RURAL;ESCOLA PRESIDENTE MEDICI;ATIVADO                                                                                                                                  "
"BA;SENTO SE;2930204;ESCOLA;URBANO;EE - COLEGIO ESTADUAL DEPUTADO JAYRO SENTO SE;ATIVADO                                                                                                                 "
"BA;SENHOR DO BONFIM;2930105;ESCOLA;URBANO;ESCOLA MUL DE 1 GRAU DE TIJUACU;ATIVADO                                                                                                                       "
"BA;SANTO AMARO;2928604;ESCOLA;URBANO;EE - COLEGIO ESTADUAL ANTONIO DOS SANTOS PAIM - DISTRITO- OLIVEIRA DOS CAMPINHOS;ATIVADO                                                                           "
"BA;SANTO AMARO;2928604;ESCOLA;URBANO;EE - COLEGIO ESTADUAL CASTRO ALVES;ATIVADO                                                                                                                         "
"BA;RUY BARBOSA;2927200;ESCOLA;URBANO;ESC MUL DUQUE DE CAXIAS;ATIVADO                                                                                                                                    "
"BA;RIO DO ANTONIO;2926806;ESCOLA;URBANO;EE - COLEGIO ESTADUAL PROFESSORA LIA PUBLIO DE CASTRO- DISTRITO DE IBITIRA;ATIVADO                                                                              "
"BA;RIO DE CONTAS;2926707;ESCOLA;URBANO;EE - COLEGIO ESTADUAL DE MARCOLINO MOURA - DISTRITO DE MARCOLINO MOURA;ATIVADO                                                                                   "
"BA;RIBEIRA DO POMBAL;2926608;ESCOLA;RURAL;ESCOLA MUNICIPAL LUZIA FRANCISCA CONCEICAO;ATIVADO                                                                                                            "
"BA;RIBEIRA DO POMBAL;2926608;ESCOLA;RURAL;ESCOLA MUNICIPAL FERREIRA BRITO;ATIVADO                                                                                                                       "
"BA;RIACHAO DO JACUIPE;2926301;ESCOLA;RURAL;EE - ESCOLA PROFESSORA MARIA JOSE DE LIMA SILVEIRA - DIST VILA APARECIDA;ATIVADO                                                                             "
"BA;RIACHAO DO JACUIPE;2926301;ESCOLA;URBANO;EE - COLEGIO ESTADUAL PROFESSOR DIDIMO MASCARENHAS RIOS - POV DE CHAPADA;ATIVADO                                                                            "
"BA;RIACHAO DO JACUIPE;2926301;ESCOLA;URBANO;EE - COLEGIO ESTADUAL DACILDA RIOS DE OLIVEIRA - DIST DE BARREIROS;ATIVADO                                                                                  "
"BA;REMANSO;2926004;ESCOLA;URBANO;EE - COLEGIO ESTADUAL REITOR EDGARD SANTOS;EM ATIVAÇÃO                                                                                                                 "
"BA;REMANSO;2926004;ESCOLA;URBANO;EE - COLEGIO ESTADUAL CORONEL OLIMPIO CAMPINHO;ATIVADO                                                                                                                 "
"BA;RAFAEL JAMBEIRO;2925956;ESCOLA;URBANO;EE - COLEGIO ESTADUAL SANTO ANTONIO DO ARGOIM - DIST DE ARGOIM;ATIVADO                                                                                         "
"BA;QUIJINGUE;2925907;ESCOLA;URBANO;ESCOLA TANCREDO NEVES;ATIVADO                                                                                                                                        "
"BA;PRADO;2925501;ESCOLA;RURAL;EE - COLEGIO ESTADUAL VINTE E CINCO DE JULHO;ATIVADO                                                                                                                      "
"BA;PLANALTO;2925006;ESCOLA;URBANO;ESCOLA MUNICIPAL VITORIO RIBEIRO PADRE;ATIVADO                                                                                                                        "
"BA;PAULO AFONSO;2924009;ESCOLA;URBANO;CRECHE MUNICIPAL TENENTE IRAN BARRETO DE MENEZES;ATIVADO                                                                                                          "
"BA;PAULO AFONSO;2924009;ESCOLA;RURAL;ESCOLA MUNICIPAL PADRE LOURENCO TORI;ATIVADO                                                                                                                       "
"BA;PALMEIRAS;2923506;ESCOLA;URBANO;EE - ESCOLA ESTADUAL SOUTO SOARES;ATIVADO                                                                                                                            "
"BA;NOVA VIÇOSA;2923001;ESCOLA;URBANO;EE - ESCOLA ESTADUAL PROFESSORA JANE ASSIS PEIXOTO - DISTRITO POSTO DA MATA;EM ATIVAÇÃO                                                                            "
"BA;NOVA ITARANA;2922805;ESCOLA;URBANO;EE - COLEGIO ESTADUAL LUIZ VIANA FILHO;ATIVADO                                                                                                                    "
"BA;NOVA IBIA;2922755;ESCOLA;URBANO;EE - COLEGIO ESTADUAL PROFESSORA MARIA LEAL LOPES;ATIVADO                                                                                                            "
"BA;MORRO DO CHAPEU;2921708;ESCOLA;URBANO;COLEGIO ESTADUAL TREZE DE MAIO;ATIVADO                                                                                                                         "
"BA;MORRO DO CHAPEU;2921708;ESCOLA;RURAL;EE - COLEGIO ESTADUAL DOUTOR EDIGAR DOURADO LIMA - DISTRITO DE FEDEGOSO;ATIVADO                                                                                 "
"BA;MEDEIROS NETO;2921104;ESCOLA;URBANO;EE - COLEGIO ESTADUAL LEUR LOMANTO - DISTRITO NOVA LIDICE;ATIVADO                                                                                                "
"BA;MARAU;2920700;ESCOLA;URBANO;EE - COLEGIO ESTADUAL CLEMENTE MARIANI;ATIVADO                                                                                                                           "
"BA;MARAGOGIPE;2920601;ESCOLA;URBANO;EE - COLEGIO ESTADUAL KLEBER PACHECO;ATIVADO                                                                                                                        "
"BA;MARACAS;2920502;ESCOLA;RURAL;ESCOLA LUIZ BRAGA;ATIVADO                                                                                                                                               "
"BA;LIVRAMENTO DE NOSSA SENHORA;2919504;ESCOLA;RURAL;UNIDADE ESCOLAR URBINO ALVES DE AMORIM;ATIVADO                                                                                                      "
"BA;LIVRAMENTO DE NOSSA SENHORA;2919504;ESCOLA;RURAL;UNIDADE ESCOLAR BARAO DE SAO TIMOTEO;ATIVADO                                                                                                        "
"BA;LIVRAMENTO DE NOSSA SENHORA;2919504;ESCOLA;URBANO;CENTRO EDUCACIONAL DAVID MENDES PEREIRA;ATIVADO                                                                                                    "
"BA;LIVRAMENTO DE NOSSA SENHORA;2919504;ESCOLA;RURAL;ESCOLA MUNICIPAL DE LAGOA NOVA;ATIVADO                                                                                                              "
"BA;LIVRAMENTO DE NOSSA SENHORA;2919504;ESCOLA;RURAL;UNIDADE ESCOLAR JOSE ASSIS PINCHIMEL;ATIVADO                                                                                                        "
"BA;LICINIO DE ALMEIDA;2919405;ESCOLA;URBANO;EE - COLEGIO ESTADUAL ERALDO TINOCO - DISTRITO DE TAUAPE;ATIVADO                                                                                            "
"BA;LAFAIETE COUTINHO;2918704;ESCOLA;URBANO;EE - COLEGIO ESTADUAL PROFESSOR ERALDO TINOCO;ATIVADO                                                                                                        "
"BA;JUSSIAPE;2918605;ESCOLA;URBANO;EE - COLEGIO ESTADUAL RODOLFO DE ABREU - DISTRITO DE CARAGUATAI;ATIVADO                                                                                               "
"BA;JAGUARIPE;2917805;ESCOLA;URBANO;COLEGIO MUNICIPAL DE CAMASSANDI;ATIVADO                                                                                                                              "
"BA;JAGUARARI;2917706;ESCOLA;URBANO;EE - COLEGIO ESTADUAL PETRONIO PORTELA DIST DE PILAR;ATIVADO                                                                                                         "
"BA;ITIUBA;2917003;ESCOLA;URBANO;CENTRO EDUCACIONAL PEDRINA SILVEIRA;ATIVADO                                                                                                                             "
"BA;ITANHEM;2916005;ESCOLA;URBANO;EDUCANDARIO PROFESSOR CARLOS CORREIA MENEZES DE SANTANA;ATIVADO                                                                                                        "
"BA;ITANHEM;2916005;ESCOLA;URBANO;ESCOLA MUNICIPAL JOAO LOPES DE ANGELO;ATIVADO                                                                                                                          "
"BA;ITANHEM;2916005;ESCOLA;URBANO;ESCOLA MUNICIPAL DOLIRIO RODRIGUES DOS SANTOS;ATIVADO                                                                                                                  "
"BA;ITANHEM;2916005;ESCOLA;URBANO;COLEGIO MUNICIPAL ALVES DE MACEDO;ATIVADO                                                                                                                              "
"BA;ITANHEM;2916005;ESCOLA;URBANO;ESCOLA MUNICIPAL JOSE RESENDE SOBRINHO;ATIVADO                                                                                                                         "
"BA;ITAGIMIRIM;2915304;ESCOLA;URBANO;GRUPO ESCOLAR JUTAHY JUNIOR;ATIVADO                                                                                                                                 "
"BA;ITACARE;2914901;ESCOLA;RURAL;INST MUNIC DE EDUC PAULO GANEM SOUTO;ATIVADO                                                                                                                            "
"BA;ITABERABA;2914703;ESCOLA;URBANO;POLO UAB / NTE  ITABERABA;ATIVADO                                                                                                                                    "
"BA;IRARA;2914505;ESCOLA;URBANO;ESCOLA MUNICIPAL MARIO CAMPOS MARTINS;ATIVADO                                                                                                                            "
"BA;IRAQUARA;2914406;ESCOLA;RURAL;EDUCANDARIO ROBERTO FIGUEIRA SANTOS;ATIVADO                                                                                                                            "
"BA;IPUPIARA;2914109;ESCOLA;URBANO;EE - COLEGIO DEMOCRATICO ESTADUAL CASTRO ALVES;ATIVADO                                                                                                                "
"BA;IPIAU;2913903;ESCOLA;RURAL;EE - CENTRO TERRITORIAL DE EDUCACAO PROFISSIONAL DO MEDIO RIO DAS CONTAS;ATIVADO                                                                                          "
"BA;IPECAETA;2913804;ESCOLA;URBANO;COLEGIO MUNICIPAL ANTERO ALVES;ATIVADO                                                                                                                                "
"BA;INHAMBUPE;2913705;ESCOLA;URBANO;ESCOLA MUNICIPAL AGENOR BATISTA DA SILVA;ATIVADO                                                                                                                     "
"BA;IBITIARA;2913002;ESCOLA;RURAL;EE - COLEGIO ESTADUAL LAGOA DE DIONISIO;ATIVADO                                                                                                                        "
"BA;IBIPEBA;2912400;ESCOLA;URBANO;EE - COLEGIO ESTADUAL JOSE DE ANCHIETA - DISTRITO DE MIROROS;ATIVADO                                                                                                   "
"BA;FIRMINO ALVES;2910909;ESCOLA;URBANO;COLEGIO MUNICIPAL DUQUE DE CAXIAS;ATIVADO                                                                                                                        "
"BA;ESPLANADA;2910602;ESCOLA;URBANO;COLEGIO MUNICIPAL PROFA DEJESIR SERRA DE OLIVEIRA;EM ATIVAÇÃO                                                                                                        "
"BA;CURACA;2909901;ESCOLA;URBANO;EE - COLEGIO ESTADUAL ANANIAS CARLOS DO NASCIMENTO - DIST RIACHO DE SECO;ATIVADO                                                                                        "
"BA;CURACA;2909901;ESCOLA;RURAL;EE - COLEGIO ESTADUAL AGROVILA 08 - DIST PEDRA BRANCA;ATIVADO                                                                                                            "
"BA;CURACA;2909901;ESCOLA;RURAL;EE - COLEGIO ESTADUAL GETULIO VARGAS - DIST POCO DE FORA;ATIVADO                                                                                                         "
"BA;CORRENTINA;2909307;ESCOLA;URBANO;EE - COLEGIO ESTADUAL ANTONIO CARLOS MAGALHAES -DISTRITO DE SAO MANOEL;ATIVADO                                                                                      "
"BA;CORACAO DE MARIA;2908903;ESCOLA;URBANO;EE - COLEGIO ESTADUAL MARIA JOSE DE LIMA SILVEIRA - DIST DO RETIRO;ATIVADO                                                                                    "
"BA;CONDEUBA;2908705;ESCOLA;RURAL;ESCOLA MUNICIPAL ANTONIO TERENCIO;ATIVADO                                                                                                                              "
"BA;CONCEICAO DO JACUIPE;2908507;ESCOLA;URBANO;ESCOLA MUNICIPAL JOAO PIMENTEL RIBEIRO;ATIVADO                                                                                                            "
"BA;CONCEICAO DO COITE;2908408;ESCOLA;URBANO;EE - COLEGIO ESTADUAL JOSE FERREIRA DE OLIVEIRA - DIST DE SALGADOLIA;ATIVADO                                                                                "
"BA;CONCEICAO DO COITE;2908408;ESCOLA;RURAL;EE - COLEGIO ESTADUAL DE BANDIACU - POV DE BANDIACU;ATIVADO                                                                                                  "
"BA;CONCEICAO DO COITE;2908408;ESCOLA;RURAL;EE - COLEGIO ESTADUAL DUQUE DE CAXIAS - DIST DE AROEIRA;ATIVADO                                                                                              "
"BA;CONCEICAO DO COITE;2908408;ESCOLA;RURAL;ESCOLA MIGUEL COUTO;ATIVADO                                                                                                                                  "
"BA;CONCEICAO DO COITE;2908408;ESCOLA;URBANO;EE - COLEGIO ESTADUAL RIO BRANCO - POV DE JUAZERINHO;ATIVADO                                                                                                "
"BA;CIPO;2907905;ESCOLA;URBANO;ESCOLA ESTADUAL EDIVALDO BOAVENTURA;ATIVADO                                                                                                                               "
"BA;CIPO;2907905;ESCOLA;RURAL;GINASIO ARMINDA MIRANDA;ATIVADO                                                                                                                                            "
"BA;CIPO;2907905;ESCOLA;RURAL;ESC MUL DR RUI BACELAR;ATIVADO                                                                                                                                             "
"BA;CICERO DANTAS;2907806;ESCOLA;RURAL;NEFMCOLEGIO MUNICIPAL MARINHO GOMES DE OLIVEIRA;ATIVADO                                                                                                           "
"BA;CHORROCHO;2907707;ESCOLA;URBANO;EE - COLÉGIO ESTADUAL DE BARRA DO TARRACHIL;ATIVADO                                                                                                                  "
"BA;CHORROCHO;2907707;ESCOLA;RURAL;EE - COLEGIO ESTADUAL DE CARAIBAS - DISTRITO DE CARAIBAS;ATIVADO                                                                                                      "
"BA;CATU;2907509;ESCOLA;RURAL;EE - COLEGIO ESTADUAL DOUTOR ANTONIO CARLOS MAGALHAES - DIST SITIO DO MEIO;ATIVADO                                                                                         "
"BA;CATOLANDIA;2907400;ESCOLA;URBANO;ESCOLA NORMAL MUNICIPAL NOSSA SENHORA DA PENHA;ATIVADO                                                                                                              "
"BA;CASTRO ALVES;2907301;ESCOLA;RURAL;COLEGIO MUN ZULMIRA MAGALHAES NASCIMENTO;ATIVADO                                                                                                                   "
"BA;CARINHANHA;2907103;ESCOLA;URBANO;ESCOLA MUL JOSE RODRIGUES DE BRITO;ATIVADO                                                                                                                          "
"BA;CANSANCAO;2906808;ESCOLA;RURAL;EE - CENTRO EDUCACIONAL CAMINHO DO SABER - POV DE BELA VISTA;ATIVADO                                                                                                  "
"BA;CANARANA;2906204;ESCOLA;RURAL;COLEGIO MUNICIPAL CATAO DOURADO;ATIVADO                                                                                                                                "
"BA;CANARANA;2906204;ESCOLA;URBANO;CENTRO EDUCACIONAL OTAVIO MANGABEIRA;ATIVADO                                                                                                                          "
"BA;CANARANA;2906204;ESCOLA;RURAL;ESCOLA DE 1 E 2 GRAU MIGUEL J ALVES;ATIVADO                                                                                                                            "
"BA;CAIRU;2905404;ESCOLA;URBANO;COLEGIO MUNICIPAL HILDECIO ANTONIO MEIRELES - BOIPEBA;ATIVADO                                                                                                            "
"BA;CAIRU;2905404;ESCOLA;RURAL;COLEGIO MUNICIPAL PROFESSOR HUMBERTO CARLOS BARBOSA RIBEIRO;EM ATIVAÇÃO                                                                                                   "
"BA;CAIRU;2905404;ESCOLA;RURAL;COLEGIO MUNICIPAL ALOISIO PIMENTEL AGUIAR;ATIVADO                                                                                                                         "
"BA;CAETITE;2905206;ESCOLA;URBANO;EE - COLEGIO ESTADUAL PEDRO ATANASIO GARCIA DIST DE MANIACU;ATIVADO                                                                                                    "
"BA;CAEM;2905107;ESCOLA;URBANO;CENTRO MUL DE EDUC NOSSA SENHORA DA CONCEICAO;ATIVADO                                                                                                                     "
"BA;CACHOEIRA;2904902;ESCOLA;RURAL;EE - COLEGIO ESTADUAL ERALDO TINOCO - COMUNIDADE QUILOMBOLA;ATIVADO                                                                                                   "
"BA;BURITIRAMA;2904753;ESCOLA;URBANO;EE - COLEGIO ESTADUAL DE BURITIRAMA;ATIVADO                                                                                                                         "
"BA;BROTAS DE MACAUBAS;2904506;ESCOLA;URBANO;EE - COLEGIO ESTADUAL PAPA JOAO PAULO I;ATIVADO                                                                                                             "
"BA;BONITO;2904050;ESCOLA;URBANO;ESCOLA DE 1º GRAU CORONEL ANTONIO DE SOUZA BENTA;ATIVADO                                                                                                                "
"BA;BONITO;2904050;ESCOLA;RURAL;EDUCANDARIO ULISSES GUIMARAES;ATIVADO                                                                                                                                    "
"BA;BELMONTE;2903409;ESCOLA;RURAL;ESCOLA ANTONIO CARLOS MAGALHAES;ATIVADO                                                                                                                                "
"BA;BARRO ALTO;2903235;ESCOLA;RURAL;CENTRO DE ESTUDOS HOZANA B OLIVEIRA;ATIVADO                                                                                                                          "
"BA;BARREIRAS;2903201;ESCOLA;RURAL;ESCOLA MUNICIPAL DR ABILIO FARIAS;EM ATIVAÇÃO                                                                                                                         "
"BA;BARREIRAS;2903201;ESCOLA;RURAL;ESCOLA MUNICIPAL ADROALDO FERNANDES MORAIS;ATIVADO                                                                                                                    "
"BA;ARACI;2902104;ESCOLA;URBANO;EE - INSTITUTO EDUCACIONAL DE PEDRA ALTA;ATIVADO                                                                                                                         "
"BA;APORA;2901908;ESCOLA;URBANO;ESCOLA ESTADUAL DE 1 GRAU OSVALDO DE S GONCALVES;ATIVADO                                                                                                                 "
"BA;ANGICAL;2901403;ESCOLA;RURAL;COLEGIO MUNICIPAL JOAO DURVAL CARNEIRO;ATIVADO                                                                                                                          "
"BA;ANGICAL;2901403;ESCOLA;RURAL;ESCOLA FAMILIA AGRICOLA JOSE NUNES DA MATA;ATIVADO                                                                                                                      "
"BA;ANAGE;2901205;ESCOLA;URBANO;ESCOLA ESTADUAL ROSEL SOARES;ATIVADO                                                                                                                                     "
"BA;AMARGOSA;2901007;ESCOLA;RURAL;EE - CENTRO TERRITORIAL DE EDUCACAO PROFISSIONAL DO VALE DO JIQUIRICA;ATIVADO                                                                                          "
"BA;ABARE;2900207;ESCOLA;URBANO;EE - COLEGIO ESTADUAL JOSEFINA GOMES DE ARAUJO - DIST DE IBO;ATIVADO                                                                                                     "
"BA;ABARE;2900207;ESCOLA;URBANO;ESCOLA MUNICIPAL SAO JOSE;ATIVADO                                                                                                                                        "
"BA;ABAIRA;2900108;ESCOLA;URBANO;COLEGIO JOAO HIPOLITO RODRIGUES;ATIVADO                                                                                                                                 "
"AP;VITORIA DO JARI;1600808;ESCOLA;URBANO;ESC EST MUNGUBA DO JARI;ATIVADO                                                                                                                                "
"AP;VITORIA DO JARI;1600808;ESCOLA;URBANO;ESC EST TEOTONIO BRANDAO VILELA;ATIVADO                                                                                                                        "
"AP;TARTARUGALZINHO;1600709;ESCOLA;URBANO;ESC EST REISALINA FERREIRA TOMAZ;ATIVADO                                                                                                                       "
"AP;SERRA DO NAVIO;1600055;ESCOLA;URBANO;UCA ESC EST SETE DE SETEMBRO;ATIVADO                                                                                                                            "
"AP;SANTANA;1600600;ESCOLA;URBANO;ESC EST PROF RODOVAL BORGES SILVA;ATIVADO                                                                                                                              "
"AP;PORTO GRANDE;1600535;ESCOLA;URBANO;ESC EST MATAPI II;ATIVADO                                                                                                                                         "
"AP;OIAPOQUE;1600501;ESCOLA;URBANO;ESC EST JOAQUIM NABUCO;ATIVADO                                                                                                                                        "
"AP;OIAPOQUE;1600501;ESCOLA;URBANO;ESC MUL PROF MARIA LEOPOLDINA A RODRIGUES;ATIVADO                                                                                                                     "
"AP;OIAPOQUE;1600501;ESCOLA;RURAL;ESC INDIGENA EST MOISES IAPARRA;ATIVADO                                                                                                                                "
"AP;MAZAGAO;1600402;ESCOLA;RURAL;ESC EST PROF ANTONIA SILVA SANTOS;ATIVADO                                                                                                                               "
"AP;MACAPA;1600303;ESCOLA;RURAL;ESCOLA AGRICOLA DO PACUI;ATIVADO                                                                                                                                         "
"AP;MACAPA;1600303;ESCOLA;URBANO;ESC EST PROF RUTH DE ALMEIDA BEZERRA;ATIVADO                                                                                                                            "
"AP;MACAPA;1600303;ESCOLA;RURAL;ESC EST SAO JOAQUIM DO PACUI;ATIVADO                                                                                                                                     "
"AP;MACAPA;1600303;ESCOLA;RURAL;UCA ESC EST JULIO GONCALVES DA COSTA;ATIVADO                                                                                                                             "
"AP;MACAPA;1600303;ESCOLA;URBANO;ESC EST JOSE BONIFACIO;ATIVADO                                                                                                                                          "
"AP;MACAPA;1600303;ESCOLA;RURAL;ESC EST DANIEL DE CARVALHO;ATIVADO                                                                                                                                       "
"AP;LARANJAL DO JARI;1600279;ESCOLA;URBANO;ESC EST PROF MARIA DE NAZARE R DA SILVA;ATIVADO                                                                                                               "
"AP;LARANJAL DO JARI;1600279;ESCOLA;URBANO;ESC EST MINEKO HAYASHIDA;ATIVADO                                                                                                                              "
"AP;LARANJAL DO JARI;1600279;ESCOLA;URBANO;ESC MUL ZELIA CONCEICAO SOUZA DA SILVA;ATIVADO                                                                                                                "
"AP;LARANJAL DO JARI;1600279;ESCOLA;URBANO;ESC MUL PAULO FREIRE;ATIVADO                                                                                                                                  "
"AP;LARANJAL DO JARI;1600279;ESCOLA;URBANO;ESC MUL RAIMUNDA RODRIGUES CAPIBERIBE;ATIVADO                                                                                                                 "
"AP;LARANJAL DO JARI;1600279;ESCOLA;URBANO;ESC EST SONIA HENRIQUES BARRETO;ATIVADO                                                                                                                       "
"AP;CALCOENE;1600204;ESCOLA;URBANO;ESC EST PROF SILVIO ELITO DE LIMA SANTOS;ATIVADO                                                                                                                      "
"AP;CALCOENE;1600204;ESCOLA;URBANO;ESCOLA ESTADUAL IVANILDO FORTES DA SILVA;ATIVADO                                                                                                                      "
